German,English
der,the
und,and
sein,being
ein,a 
haben,to have
sie,you
werden,will
von,from
ich,I
nicht,Not
es,it
sich,itself
er,he
auf,on
für,for
auch,even
an,on
dass,that
zu,to
als,as
können,be able
dies,this
wie,how
ihr,you
so,so
bei,at
sein,being
aber,but
man,one
noch,still
nach,after
oder,or
all,Alles
aus,the end
was,What
nur,just
dann,then
wenn,if
müssen,must
um,around
ja,Yes
kein,no
über,about
da,there
geben,give
vor,Before
mehr,more
Jahr,Year
du,you
durch,by
viel,a lot of
wollen,want
machen,do
sollen,must
schon,nice
kommen,come
mir,me
immer,always
mich,me
gehen,walk
groß,big
hier,here
ganz,all
zwei,two
also,so
jetzt,now
doch,after all
wieder,again
uns,us
gut,Well
bis,until
wissen,to know
sehen,see
einer,one
sehr,very
Mal,Just
lassen,to let
neu,New
stehen,stand
unser,our
jede,every
weil,because
Mensch,Person
ihm,him
ihn,him
denn,then
Beispiel,example
erste,first
Zeit,time
lang,long
leben,Life
Frau,woman
etwas,some
selbst,even
wenig,little
finden,Find
gegen,versus
zwischen,in between
drei,three
wo,Where
nichts,nothing
klein,small
bleiben,stay
nun,well
sondern,but
heute,today
beide,both
hoch,high
damit,with it
ohne,without
Mann,man
welch,what
tun,do
einmal,once
ihnen,them
heißen,mean
ob,if
denken,think
dabei,included
seit,since
einfach,simply
erst,first
Kind,child
Land,country
stellen,place
zeigen,show
natürlich,Naturally
alt,old
dort,there
Deutschland,Germany
gleich,even
nehmen,to take
wichtig,important
vielleicht,perhaps
hören,Listen
Haus,House
nein,no
wer,who
dazu,to
eigentlich,actually
letzte,latest
fragen,questions
Herr,Mr. 
halten,keep
glauben,believe
Frage,question
gelten,be valid
gerade,straight
folgen,follow
sprechen,speak
führen,to lead
bringen,bring
Welt,World
gar,even
eigen,own
genau,Exactly
mögen,like
spät,late
bereits,already
möglich,possible
Prozent,percent
während,during
einige,some
dafür,Therefore
kurz,short
richtig,correct
stark,strong
brauchen,to need
Hand,hand
etwa,about
weitere,Further
Ende,End
schreiben,to write
solch,such
nie,never
Fall,case
schön,beautiful
wirklich,really
denen,whom
nennen,to name
warum,why
ziehen,draw
Wort,Word
darauf,thereon
eben,just
Seite,Page
Teil,Part
jung,young
vier,four
besser,better
fast,nearly
schnell,fast
Stadt,city
spielen,to play
zwar,that is
Euro,Euro
Arbeit,work
Million,million
Problem,problem
verstehen,to understand
bekommen,to get
meinen,mean
davon,from that
fahren,to go
kennen,know
dich,you
Mutter,mother
Woche,Week
Weg,path
weiter,continue
Auge,Eye
oft,often
Leute,people
allerdings,Indeed
sogar,even
jedoch,however
setzen,set
deshalb,for this reason
weit,far
sitzen,sit
Vater,Father
dein,your
arbeiten,work
Geld,money
Unternehmen,company
nächste,next
erklären,to explain
klar,clear
Doktor,doctor
Paar,Pair
Recht,Right
wegen,because of
dir,to you
Wasser,water
bestehen,exist
versuchen,attempt
Punkt,Point
Grund,reason
Kopf,head
beginnen,begin
laufen,to run
Bild,picture
verschieden,different
Name,Surname
Aufgabe,task
schwer,difficult
entsprechen,correspond
treffen,meet
Art,Kind
wohl,probably
Geschichte,Story
erzählen,tell
entstehen,develop
sicher,for sure
neben,Next
allein,alone
Abbildung,Illustration
hinter,Behind
besonders,particularly
tragen,wear
kaum,barely
Freund,friend
fünf,five
scheinen,seem to be
Stunde,Hour
aussehen,looks
gern,gladly
überhaupt,at all
bestimmt,definitely
sowie,such as
Professor,professor
darüber,about that
deren,whose
schaffen,create
damals,back then
erhalten,receive
lernen,to learn
Wert,value
beziehungsweise,or
daran,to it
suchen,search
Europa,Europe
gemeinsam,together
rund,around
Zahl,Number
Thema,Theme
handeln,act
Buch,A book
bisschen,little
deutlich,clear
anders,different
politisch,politically
lesen,to read
Blick,View
Form,shape
einzeln,individually
erreichen,to reach
vergehen,pass
leicht,easy
je,ever
verlieren,lose
beste,best
bilden,form
Monat,Month
Lösung,solution
Sache,Matter
bekannt,known
Ziel,Goal
steigen,climb
eher,rather
essen,meal
Minute,minute
schlecht,bad
Spiel,Game
Familie,family
dessen,whose
fallen,fall
zehn,ten
Preis,Price
europäisch,European
sonst,otherwise
Staat,Country
helfen,help
Bereich,area
tatsächlich,indeed
Ort,location
Abend,Evening
einzig,only
Stelle,Job
unterschiedlich,differently
Gesicht,face
Entwicklung,development
Uhr,watch
mehrere,several
schließen,shut down
schließlich,in the end
legen,place
direkt,direct
daher,hence
offen,open minded
erkennen,detect
Person,person
Moment,moment
Schule,school
darin,in this
Auto,automobile
niemand,nobody
Gesellschaft,Company
warten,wait
vorstellen,imagine
früh,early
treten,step
reden,talk
Gruppe,group
Ding,thing
na,n / A
gewinnen,to win
zunächst,first
damit,with it
Tür,door
Schritt,Step
entwickeln,develop
meiste,most
Möglichkeit,possibility
Sinn,sense
passieren,happen
manchmal,sometimes
Vergleich,comparison
System,system
Rolle,role
Ergebnis,Result
vergleichen,to compare
voll,fully
erwarten,expect
obwohl,although
Straße,street
Angst,fear
allgemein,general
fühlen,feel
jene,those
erinnern,recall
oh,Oh
bedeuten,mean
Stimme,Voice
Reaktion,reaction
wirken,works
darstellen,represent
Raum,Space
Eltern,parents
bezeichnen,describe
Funktion,function
häufig,frequently
erscheinen,to appear
Vereinigte Staaten von Amerika,United States of America
Flüchtling,refugee
früher,previously
pro,Per
ergeben,result
entscheiden,decide
Universität,university
betreffen,regarding
oben,above
Richtung,Direction
bestimmen,determine
fehlen,absence
Sprache,language
Produkt,product
Situation,situation
außerdem,in addition to that
nämlich,namely
international,international
Anfang,Beginning
sechs,six
nutzen,to use
sozial,social
Folge,Consequence
Satz,Sentence
manche,some
Verbindung,connection
beschreiben,describe
Licht,light
ähnlich,similar
Regel,Rule
gegenüber,across from
Kollege,colleague
bisher,until now
tief,deep
halb,half
lachen,laugh
ebenfalls,Likewise
sofort,right away
Grenze,Border
ändern,to change
Entscheidung,decision
verlassen,leaving
Idee,idea
verbinden,associate
Milliarde,billion
endlich,Finally
Energie,energy
plötzlich,suddenly
danach,after that
Kraft,power
lieber,Dear
gehören,belong
einsetzen,insert
Gefühl,feeling
trotzdem,despite it
befinden,condition
Information,information
dadurch,thereby
dagegen,on the other hand
Weise,Way
Zukunft,future
wachsen,grow
bitte,You're welcome
weiß,White
Text,text
schwarz,black
sterben,to die
Markt,market
rot,red
halt,stop
Meter,meter
nahe,vicinity
Hilfe,Help
Kapitel,Chapter
ausgehen,go out
Bedeutung,meaning
betrachten,regard
Chemie,Chemistry
Luft,Air
Körper,Body
Struktur,structure
stimmen,be right
bitten,ask
Jahrhundert,century
wahrscheinlich,probably
öffentlich,publicly
euch,you
insgesamt,in total
anfangen,begin
genug,enough
Deutsche,German
verändern,change
Wohnung,apartment
gelingen,succeed
bald,soon
gering,small amount
Film,Movie
kaufen,to buy
ansehen,regard
öffnen,to open
Musik,music
schauen,to look
Stück,piece
besondere,special
Gott,God
völlig,fully
positiv,positive
darum,therefore
Kunde,customer
Menge,quantity
Regierung,government
Antwort,answer
annehmen,accept
falsch,not correct
Zusammenhang,connection
langsam,slow
Arm,poor
nachdem,after
Tisch,table
rufen,call
bieten,Offer
Herz,heart
zusammen,together
inzwischen,in the meantime
ebenso,as well
Boden,floor
bevor,before
verwenden,use
Politik,politics
Tod,Death
Erfolg,success
zudem,in addition
Bank,Bank
ab,away
persönlich,personally
Präsident,president
holen,fetch
Junge,Young
